Term,Description
Accountability,Answerability or legal responsibility for  identifying and removing obstacles and  barriers to health  services. This should  include responding to findings from  monitoring and evaluation (1).
Accuracy,"The degree to which a  measurement, test  or procedure correctly reflect the true  value or condition (2)."
Delineated geographical areas within,"a particular territory created for the  purpose of  administration. For  example:  county, district, province, state, region,  subnational or national (3)."
Age groupings,The combining of ages into groups for  the purpose of data  analysis. These  groupings usually capture a time interval  representing a developmental stage in  the life course of a  human. The actual  aggregation used depends on the purpose  of the analysis and the sample size (4).
Age-specific mortality rate,A mortality rate of a particular age  group.  The numerator is the number of deaths  in that age  group; the denominator is the  number of persons in that age group in the  population (5).B
Birth registration data,Data collected in the process of recording  a child’s  birth. It is a permanent and  official record of a  child’s existence and  provides legal recognition of that  child’s  identity (6).
Care cascade,"A systematic framework used to track  patient outcomes across the stages  of care, from diagnosis to treatment and  ultimately to successful  outcomes. Each  stage in the cascade identifies gaps in care  that can prevent individuals from reaching  the outcome such as receiving proper  treatment or achieving disease  control.  The model was first developed in 1978 by  Tanahasi to identify gaps and barriers in  health systems performance (7,8)."
Catchment area,"A geographical area delineated around  an institution or  business, such as a  health  facility, from where the population  utilizes its  services. Often a key output of  geographic accessibility analysis (see also “geographic  accessibility”) (9)."
Causes of death,"For the matters of international and  national standard  reporting, the  definition  is: The disease or injury that  initiated the train of morbid events leading  directly to  death, or the circumstances of  the accident or violence which produced  the fatal  injury. The fully specified title  is:  “Single underlying cause of  death” . It is  different from multiple cause analysis  and other concepts like direct cause or  cause determined by verbal  autopsy. See also “International Classification of Diseases” (10,11)."
Chi-square (χ2) test,"The  Chi-square test of independence (also  known as the Pearson  Chi-square  test)  is one of the most useful statistics for  testing hypotheses when the variables  are nominal, as often happens in  clinical  research. Unlike most  statistics,  the Chi-square (χ2) test can provide  information not only on the significance  of any observed  differences, but also  provides detailed information on  exactly which categories account for any  differences found (12)."
Civil registration and vital statistics,"A system of  continuous, permanent,  compulsory, and universal recording of  the occurrence and characteristics of vital  events pertaining to the  population, as  provided through decree or regulation in  accordance with the legal requirements  in each  country. The main source of vital  statistics is civil registration and includes  events like  birth, marriage, divorce,  adoption, death, and cause of death (10)."
Completeness of reporting,"Reflects the percentage of reporting units  that have provided  data. This could be the  completeness of facility  reporting, district  reporting or globally the completeness of  reporting from countries (13).Compliance The act of handling and managing  personal and sensitive data in a way that  adheres to regulatory  requirements,  industry standards and internal policies  involving data security and privacy (14)."
Composite indicator,"An indicator obtained by combining  individual indicators from across several  health topics based on an underlying  model of the  multi-dimensional concept  being  measured. Typically, a composite  indicator measures a broader concept  such as universal health coverage (15)."
Confidentiality,"Refers to the ethical obligation of   professionals, health  institutions/ organizations and other health workers to  preserve authorized restrictions on access  to – and disclosures of – sensitive personal  information about individuals (16)."
Confounding,Occurs when the relationship between  an exposure and an outcome is distorted  because the exposure is linked to other  factors that also affect the likelihood of  the outcome. A confounding variable is an  additional variable that influences both  the independent and dependent variables  and that distorts the relationship between  them (17).
Construct validity,"The degree to which a measurement   aligns with related theoretical  hypotheses,  demonstrating that it accurately represents  the underlying theoretical  concept. It  indicates how well the scores reflect the  intended  construct, ensuring the results  are meaningful and  relevant. Construct  validity is commonly applied to process  indicators (18).A"
Content validity,"The degree to which an assessment  instrument is relevant  to, and  representative  of, the targeted construct it  is designed to measure (19)."
Convergent validity,How closely the indicator is related to  other variables and other measures of the  same  construct. This approach is utilized  when a gold standard does not  exist.  Convergent validity is often used for  impact indicators (20).
Core indicator,"Core indicators may be defined in  collaboration with all key stakeholders  (e.g. ministry of  health, national  statistics  office, other relevant  ministries,  professional  organizations, experts, and  major  disease-focused  programmes),  and depends on the priority monitoring  requirements related to health and  health- related  SDGs, among other health  priorities (21)."
Correlation analysis,Examination of the strength and direction  of linear relationships between two  continuous variables (22).
Count,"A count gives the number of occurrences  of the elements being measured  (e.g. health  event(s), facilities, health  workers  etc.), within a specified time  and at a specified  place. It is an  integer,  without any denominator (23)."
Covariates,"Data, including  non-health  data, which  are used in a statistical model to improve  the estimation of the health indicator  of interest. These data are  population- specific and are available for every  population included in the  analysis. For example, a common covariate is gross  domestic product per capita (24)."
Credibility,"Confidence that users place in the  statistics or  data. Specifically, it refers to  the believability or trustworthiness of the  data (2)."
Criterion validity,"The extent to which a measurement  correlates with an external criterion of the  phenomenon under  study; ideally, a gold  standard (25)."
Data,"Basic, often unprocessed analogue or digital  elements, characteristics or  representations of facts or  information.  This includes  raw, unprocessed  numbers,  measurements or text (23,26,27)."
Data access control,Access control is a security technique that  regulates who or what can view or use  data in a computing environment (28).
Data accessibility,"The ease with which users can  find,  retrieve, understand and use data (29)."
Data anonymization,"The process of altering personally  identifiable information within a dataset in  such a way that the data subject is not or  no longer identifiable (30,31)."
Data collection level,"The specific setting from which the data are  collected (e.g., national, subnational, facility,  household, school or  community) (32).A Z4"
Data collection method,"Description of all methods used for  data  collection. This description  should  include, when  applicable, the  sample frame  used, the questions used  to collect the  data, the type of  interview,  the dates/duration of  fieldwork, the  sample  size, and the response rate (33)."
Data consent,"Any freely given and informed indication  of an agreement by the data subject to  the processing of  his/her personal  data.  It may be given either by a written or  oral statement or other clear affirmative  action (30,31)."
