Thematic Area,Term
"Data source,collection, and collation",Data accessibility
"Data source,collection, and collation",Data type
"Data source,collection, and collation",Primary data
"Data source,collection, and collation",Data collection level
"Data source,collection, and collation",Digital health
"Data source,collection, and collation",Response rate
"Data source,collection, and collation",Data collection method
"Data source,collection, and collation",Geospatial data
"Data source,collection, and collation",Secondary data
"Data source,collection, and collation",Data element
"Data source,collection, and collation",Health data
"Data source,collection, and collation",Sex
"Data source,collection, and collation","Data information
pyramid"
"Data source,collection, and collation",Home-based record
"Data source,collection, and collation",Survey
"Data source,collection, and collation",Data inputs
"Data source,collection, and collation",Measurement level
"Data source,collection, and collation",Survey data
"Data source,collection, and collation",Data integration
"Data source,collection, and collation",Microdata
"Data source,collection, and collation",Surveillance
"Data source,collection, and collation",Data life cycle
"Data source,collection, and collation",Population-based survey
"Data source,collection, and collation",Understandable/simplicity
"Data source,collection, and collation",Data source
"Data source,collection, and collation",Population census
"Data source,collection, and collation",Unit of measure
"Data source,collection, and collation",Data standards
"Data source,collection, and collation",Preferred data sources
"Data security, protection, governance and standards",Compliance
"Data security, protection, governance and standards",Data steward
"Data security, protection, governance and standards",Mortality data
"Data security, protection, governance and standards",Confidentiality
"Data security, protection, governance and standards",Data stewardship
"Data security, protection, governance and standards",National health strategic plan
"Data security, protection, governance and standards",Data access control
"Data security, protection, governance and standards",Focal point
"Data security, protection, governance and standards",National statistics office
"Data security, protection, governance and standards",Data anonymization
"Data security, protection, governance and standards",International Classification of Diseases
"Data security, protection, governance and standards",Notifiable conditions
"Data security, protection, governance and standards",Data consent
"Data security, protection, governance and standards",International Health Regulations
"Data security, protection, governance and standards",Publicly available
"Data security, protection, governance and standards",Data custodian
"Data security, protection, governance and standards",Master facility list
"Data security, protection, governance and standards",Stakeholder
"Data security, protection, governance and standards",Data governance
"Data security, protection, governance and standards","Medical Certificate 
Cause of Death"
"Data security, protection, governance and standards",Standard operating procedures
"Data security, protection, governance and standards",Data privacy
"Data security, protection, governance and standards",Morbidity data
"Data security, protection, governance and standards","Sustainable
Development Goals"
"Data security, protection, governance and standards",Data provider
"Data security, protection, governance and standards",Mortality coder
"Data security, protection, governance and standards",Transparency
"Data security, protection, governance and standards",Data security
Disaggregation of public health data/indicators,Administrative area
Disaggregation of public health data/indicators,Disaggregation
Disaggregation of public health data/indicators,Global Health Observatory
Disaggregation of public health data/indicators,"Age groupings
recommended"
Disaggregation of public health data/indicators,Gender
Disaggregation of public health data/indicators,Granularity
Disaggregation of public health data/indicators,Age specific mortality rate
Disaggregation of public health data/indicators,Geocoding
Disaggregation of public health data/indicators,Health inequality
Disaggregation of public health data/indicators,Catchment area
Disaggregation of public health data/indicators,Geo-enablement
Disaggregation of public health data/indicators,Health inequity
Disaggregation of public health data/indicators,Causes of death
Disaggregation of public health data/indicators,"Geographic
accessibility"
Disaggregation of public health data/indicators,Subnational
Estimation methods,Covariates
Estimation methods,Global health estimates_
Estimation methods,Method of aggregate estimation
Estimation methods,Estimation methods
Estimation methods,Health estimates
Health Information systems,Birth registration data
Health Information systems,Health management information system
Health Information systems,Registry
Health Information systems,"Civil registration and
vital statistics"
Health Information systems,Health facility census
Health Information systems,Register
Health Information systems,"Death registration
data"
